,tempMean,psalMean,tempStd,psalStd,startDate,endDate,nProf
133,20.31424459,36.66717597,0.741166114,0.148552858,6/11/08,6/22/08,45
134,20.98341858,36.61602987,0.865209513,0.218578364,6/23/08,7/4/08,43
135,21.81486837,36.73197044,0.555551924,0.165568229,7/5/08,7/16/08,38
136,22.08119575,36.87437953,1.220860629,0.402073939,7/17/08,7/28/08,48
137,22.54222507,36.72756872,0.704475739,0.172752295,7/29/08,8/9/08,40
138,22.72915152,36.77079183,0.665419218,0.133115447,8/10/08,8/21/08,33
139,22.87881104,36.74946718,0.541404311,0.13976032,8/22/08,9/2/08,38
140,23.39367495,36.85435362,0.698959901,0.109841776,9/3/08,9/14/08,40
141,22.91235899,36.83233359,0.509231743,0.106468461,9/15/08,9/26/08,40
142,22.6530714,36.80495862,0.267667681,0.104911919,9/27/08,10/8/08,42
143,22.10514297,36.78990533,0.348027958,0.112170037,10/9/08,10/20/08,35
144,21.39412917,36.74790339,0.551964746,0.104365736,10/21/08,11/1/08,31
145,20.13839979,36.72700729,0.338906193,0.084207443,11/2/08,11/13/08,20
146,19.91553559,36.79630157,0.520532551,0.101000861,11/14/08,11/25/08,28
147,18.8827499,36.69782121,0.51723071,0.082753892,11/26/08,12/7/08,28
148,18.13840622,36.65483415,0.686025007,0.089171302,12/8/08,12/19/08,32
149,17.73433327,36.60206072,0.649829485,0.087637966,12/20/08,12/31/08,33
150,18.04465121,36.64583188,0.662857631,0.084556613,1/1/09,1/13/09,43
151,17.72521945,36.6211025,0.656164134,0.09920979,1/14/09,1/26/09,42
152,16.93334083,36.50570644,0.695446389,0.111435598,1/27/09,2/8/09,44
153,16.87194119,36.51970254,0.585067103,0.098394192,2/9/09,2/21/09,51
154,16.57854837,36.46232224,0.599344343,0.095868117,2/22/09,3/6/09,31
155,16.36534206,36.4346978,0.643008084,0.114607833,3/7/09,3/18/09,38
156,16.97305712,36.4780947,0.459623637,0.075728927,3/19/09,3/30/09,35
157,17.28243752,36.54819322,0.410996318,0.07199411,3/31/09,4/11/09,48
158,17.40531813,36.55815046,0.635231952,0.131898981,4/12/09,4/23/09,44
159,17.54048641,36.5391092,0.565364672,0.093624882,4/24/09,5/5/09,37
160,17.96117659,36.55857271,0.650150754,0.086225263,5/6/09,5/17/09,35
161,18.47974992,36.5826184,0.568780056,0.103032803,5/18/09,5/29/09,24
162,19.20294122,36.62450532,0.574964642,0.117256922,5/30/09,6/10/09,34
163,19.8174687,36.56873274,0.734280962,0.116860361,6/11/09,6/22/09,32
164,21.04405413,36.60589321,0.933352139,0.133784989,6/23/09,7/4/09,37
165,21.85219034,36.56889325,1.35066034,0.222458234,7/5/09,7/16/09,42
166,22.06547737,36.60497978,1.197328912,0.250461609,7/17/09,7/28/09,44
167,22.70105127,36.65248881,0.706121217,0.189648424,7/29/09,8/9/09,39
168,22.82232352,36.60664424,0.845559852,0.226595841,8/10/09,8/21/09,34
169,22.83365724,36.70941206,0.853418811,0.193992499,8/22/09,9/2/09,35
170,22.93075002,36.81036334,0.344040941,0.065875351,9/3/09,9/14/09,44
171,22.70219049,36.83832632,0.422235511,0.093765965,9/15/09,9/26/09,42
172,22.6069143,36.79598901,0.340971758,0.128403934,9/27/09,10/8/09,35
173,22.58416672,36.73060048,0.717703504,0.218186789,10/9/09,10/20/09,30
174,22.31469987,36.70311724,0.792793131,0.197729079,10/21/09,11/1/09,30
175,21.66769223,36.63169069,0.701943811,0.173360043,11/2/09,11/13/09,39
176,20.94085721,36.64316177,0.718650698,0.240356255,11/14/09,11/25/09,39
177,20.59973812,36.66607848,0.969619967,0.188256404,11/26/09,12/7/09,42
178,19.75076314,36.62009059,0.654512702,0.135121646,12/8/09,12/19/09,38
179,18.70199987,36.48238008,0.991127176,0.193243891,12/20/09,12/31/09,46
180,18.01464289,36.47801883,1.140382303,0.200300483,1/1/10,1/13/10,56
181,17.53197883,36.42964692,1.066905203,0.174775512,1/14/10,1/26/10,47
182,17.43797215,36.46759288,0.849622586,0.148525841,1/27/10,2/8/10,36
183,17.304943,36.46319722,0.587892684,0.126177889,2/9/10,2/21/10,35
184,16.95750007,36.39359868,0.704757001,0.133891132,2/22/10,3/6/10,32
185,16.88017624,36.38770822,0.595159789,0.120734632,3/7/10,3/18/10,34
186,16.84575864,36.37788141,0.922356098,0.165839714,3/19/10,3/30/10,29
187,17.00093165,36.40414949,0.883114939,0.162952275,3/31/10,4/11/10,44
188,17.36660004,36.41267102,0.648305033,0.15605968,4/12/10,4/23/10,40
189,17.95792004,36.42193085,0.75781713,0.153686317,4/24/10,5/5/10,50
190,18.26281629,36.48287863,0.74319547,0.165654686,5/6/10,5/17/10,49
191,18.34472726,36.46335856,0.716414925,0.131494102,5/18/10,5/29/10,33
192,18.90563896,36.46637101,0.696061576,0.150966805,5/30/10,6/10/10,36
193,19.54761113,36.5238231,0.691421488,0.136833974,6/11/10,6/22/10,36
194,19.76582205,36.49466875,0.881562535,0.154805389,6/23/10,7/4/10,45
195,20.57213997,36.5631868,0.785874987,0.118759509,7/5/10,7/16/10,50
196,20.93381398,36.53417694,0.769643783,0.135708003,7/17/10,7/28/10,43
197,21.40233341,36.55873617,0.691827614,0.103512146,7/29/10,8/9/10,45
198,21.47992861,36.54661369,0.531061503,0.102679439,8/10/10,8/21/10,42
199,22.51746519,36.6222646,0.791752065,0.111163131,8/22/10,9/2/10,43
200,22.87382611,36.598577,0.874429837,0.137043399,9/3/10,9/14/10,46
201,22.76881063,36.61027135,0.703934006,0.18046039,9/15/10,9/26/10,37
202,22.48709302,36.61011399,0.622919421,0.168174262,9/27/10,10/8/10,43
203,22.05576911,36.66059807,0.5581016,0.140296084,10/9/10,10/20/10,39
204,21.84276933,36.66496825,0.447557292,0.076226472,10/21/10,11/1/10,39
205,20.89192849,36.63301958,0.504298088,0.11366815,11/2/10,11/13/10,42
206,20.12623083,36.56999383,0.750643253,0.18325659,11/14/10,11/25/10,26
207,19.51642406,36.55904388,0.995467829,0.139026934,11/26/10,12/7/10,33
208,19.06936658,36.59418513,0.57862647,0.070604998,12/8/10,12/19/10,30
209,18.39513327,36.54069901,0.699887059,0.087749378,12/20/10,12/31/10,30
210,17.5277646,36.41490869,0.905849268,0.162609609,1/1/11,1/13/11,34
211,17.76234619,36.44537192,1.081182543,0.194965006,1/14/11,1/26/11,26
212,17.19983766,36.43193642,0.875745248,0.138671655,1/27/11,2/8/11,37
213,16.55791422,36.3685985,0.828216975,0.153035702,2/9/11,2/21/11,35
214,16.7799999,36.41160715,0.834084974,0.147045941,2/22/11,3/6/11,29
215,16.58103572,36.41040461,0.918620782,0.159786236,3/7/11,3/18/11,28
216,17.24817246,36.47853444,0.733579452,0.122563139,3/19/11,3/30/11,29
217,16.91392025,36.39181946,0.580191006,0.084305269,3/31/11,4/11/11,25
218,17.23515792,36.37136479,0.775082756,0.111928376,4/12/11,4/23/11,19
219,17.39316662,36.40737025,0.87451656,0.136488764,4/24/11,5/5/11,24
220,17.99404335,36.38110368,0.749205147,0.110990295,5/6/11,5/17/11,23
221,19.0122174,36.52143346,1.334062605,0.179745143,5/18/11,5/29/11,23
222,18.82864305,36.45516368,1.4315028,0.154615559,5/30/11,6/10/11,28
223,19.43533325,36.45041348,1.374331206,0.126787837,6/11/11,6/22/11,21
224,19.66398117,36.44613518,1.214876991,0.149081331,6/23/11,7/4/11,53
225,20.10135288,36.4879667,1.147150375,0.146443255,7/5/11,7/16/11,51
226,20.68917035,36.55295863,0.435111515,0.097509301,7/17/11,7/28/11,47
227,21.12926927,36.583574,0.450772002,0.098591275,7/29/11,8/9/11,52
228,21.83575537,36.67555974,0.479502687,0.113975357,8/10/11,8/21/11,45
229,22.51969225,36.68667876,0.291657921,0.073344161,8/22/11,9/2/11,39
230,22.59795008,36.6748024,0.349056536,0.091726202,9/3/11,9/14/11,40
231,22.3692667,36.6961338,0.397530151,0.086084728,9/15/11,9/26/11,35
232,22.66492096,36.71347718,0.408447404,0.102601204,9/27/11,10/8/11,43
233,22.70888233,36.77673923,0.198448583,0.068545739,10/9/11,10/20/11,39
234,22.1365162,36.75897758,0.247562012,0.057107486,10/21/11,11/1/11,36
235,21.13763162,36.57472811,0.297646658,0.118740806,11/2/11,11/13/11,43
236,19.54216133,36.53296698,0.975680748,0.142865148,11/14/11,11/25/11,36
237,18.8571113,36.54323493,0.766887975,0.117171362,11/26/11,12/7/11,41
238,18.63139538,36.57954726,0.878675713,0.176869515,12/8/11,12/19/11,48
239,18.05223088,36.51280985,0.52110867,0.114971951,12/20/11,12/31/11,44
240,17.41035365,36.48172467,0.782890119,0.150642001,1/1/12,1/13/12,75
241,18.02929974,36.65410957,0.493235653,0.065389877,1/14/12,1/26/12,16
242,17.2909166,36.55103302,0.315383474,0.067786722,1/27/12,2/8/12,17
243,16.54995246,36.47704842,0.309418664,0.046143994,2/9/12,2/21/12,26
244,16.56221079,36.48642269,0.434392211,0.071280383,2/22/12,3/5/12,19
245,16.5579998,36.48313192,0.514247164,0.081916819,3/6/12,3/18/12,15
246,17.03713052,36.5425833,0.442772999,0.075260276,3/19/12,3/30/12,23
247,17.28323818,36.51914851,0.27710832,0.07693385,3/31/12,4/11/12,21
248,17.39558347,36.55989806,0.28503457,0.057871324,4/12/12,4/23/12,12
249,17.65289974,36.59278412,0.15739718,0.034383367,4/24/12,5/5/12,10
250,17.90106441,36.47405514,0.67495487,0.092823043,5/6/12,5/17/12,31
251,17.91891222,36.39140828,1.229119536,0.146905188,5/18/12,5/29/12,62
252,18.82356359,36.41682462,1.235460074,0.162966479,5/30/12,6/10/12,60
253,20.06939219,36.47647431,0.826612266,0.13485896,6/11/12,6/22/12,51
254,20.56533333,36.45539941,1.05881202,0.166061274,6/23/12,7/4/12,54
255,20.77754704,36.52501808,0.868583161,0.097348651,7/5/12,7/16/12,53
256,21.06870956,36.56830234,1.087378714,0.116047615,7/17/12,7/28/12,62
257,21.73653342,36.58155575,0.904211299,0.080780988,7/29/12,8/9/12,60
258,22.54749993,36.62253071,0.941695448,0.098060158,8/10/12,8/21/12,42
259,23.11142108,36.6762366,0.961777574,0.097472439,8/22/12,9/2/12,38
260,23.20264435,36.63870053,0.563967492,0.151859388,9/3/12,9/14/12,45
261,22.90333925,36.60925225,1.659123509,0.184363552,9/15/12,9/26/12,56
262,22.69853344,36.6236728,1.43849459,0.173841727,9/27/12,10/8/12,60
263,22.72086766,36.62143079,0.900725439,0.180585549,10/9/12,10/20/12,68
264,22.02393828,36.62880358,0.782343591,0.188050417,10/21/12,11/1/12,81
265,20.99124643,36.54345255,0.848064419,0.125266279,11/2/12,11/13/12,69
266,20.05418576,36.55390135,0.797428555,0.095261749,11/14/12,11/25/12,70
267,18.95106053,36.54093956,0.789271499,0.078110475,11/26/12,12/7/12,66
268,18.02547555,36.48957885,0.825902444,0.113200824,12/8/12,12/19/12,82
269,17.86390119,36.48463214,0.918416939,0.132420321,12/20/12,12/31/12,81
270,17.44194028,36.46526433,0.825738367,0.136153748,1/1/13,1/13/13,67
271,17.54992552,36.47191445,0.723642775,0.101004586,1/14/13,1/26/13,94
272,17.53572004,36.48880493,0.51469752,0.115321872,1/27/13,2/8/13,100
273,16.58223005,36.41700255,0.773086441,0.108054089,2/9/13,2/21/13,113
274,16.46728859,36.3970985,0.590307301,0.074416873,2/22/13,3/6/13,104
275,16.06448323,36.3419871,0.616786836,0.087662713,3/7/13,3/18/13,120
276,16.20807693,36.34771107,0.913578033,0.126008527,3/19/13,3/30/13,83
277,16.63521273,36.36228233,0.6261982,0.093945875,3/31/13,4/11/13,94
278,17.17923304,36.31140185,0.664438021,0.138404232,4/12/13,4/23/13,103
279,17.27358885,36.35146552,0.74229236,0.116546251,4/24/13,5/5/13,90
280,17.8308334,36.40203456,0.768958261,0.114967436,5/6/13,5/17/13,114
281,17.97975257,36.48788543,0.670170858,0.098070863,5/18/13,5/29/13,97
282,18.02265622,36.46834679,0.677715009,0.137763078,5/30/13,6/10/13,96
283,18.78409679,36.43475961,0.658648552,0.097049308,6/11/13,6/22/13,93
284,19.06406019,36.4804232,0.680427792,0.095335053,6/23/13,7/4/13,83
285,20.27969041,36.56652608,0.617259823,0.072037743,7/5/13,7/16/13,126
286,20.78893023,36.53015855,0.888939821,0.115694972,7/17/13,7/28/13,129
287,21.83786612,36.59919967,0.800311288,0.127035823,7/29/13,8/9/13,112
288,22.04786775,36.63411568,0.558855974,0.121575639,8/10/13,8/21/13,121
289,22.26009993,36.70103333,0.435909333,0.136876891,8/22/13,9/2/13,110
290,22.24121736,36.71621276,0.41427058,0.085254571,9/3/13,9/14/13,138
291,22.35199999,36.7112643,0.45598135,0.067663043,9/15/13,9/26/13,121
292,22.35547108,36.6788837,0.529228736,0.081195585,9/27/13,10/8/13,104
293,22.40048303,36.69860746,0.533326002,0.134288292,10/9/13,10/20/13,118
294,22.03800005,36.64930866,0.48165828,0.105835644,10/21/13,11/1/13,98
295,21.20494593,36.62913534,0.509809841,0.116799372,11/2/13,11/13/13,148
296,20.22968795,36.60818549,0.548694061,0.104666008,11/14/13,11/25/13,141
297,19.45374187,36.59908993,0.472806829,0.094607962,11/26/13,12/7/13,124
298,18.86325875,36.57801784,0.715155144,0.110248014,12/8/13,12/19/13,143
299,18.20586612,36.52903342,0.794265648,0.129442379,12/20/13,12/31/13,127
300,18.20061316,36.56602431,0.538514406,0.09847319,1/1/14,1/13/14,137
301,17.68126885,36.5366996,0.847023156,0.136700208,1/14/14,1/26/14,119
302,17.43861871,36.53388642,0.709623684,0.111454931,1/27/14,2/8/14,139
303,16.8152321,36.46244916,0.696057019,0.115159267,2/9/14,2/21/14,125
304,16.11499998,36.80324701,1.553334654,0.711459795,2/22/14,3/6/14,137
305,16.79083014,36.4529664,0.831083005,0.163396001,3/7/14,3/18/14,106
306,16.99870729,36.49156087,0.552099933,0.102549034,3/19/14,3/30/14,123
307,16.85991918,36.43949817,0.602535372,0.081178174,3/31/14,4/11/14,99
308,17.61371819,36.43838962,0.58156061,0.083886107,4/12/14,4/23/14,110
309,17.8680702,36.45456234,0.384963942,0.084559355,4/24/14,5/5/14,114
310,18.33798943,36.45949825,0.538464406,0.107756349,5/6/14,5/17/14,96
311,18.37506094,36.42511889,0.827006627,0.168036245,5/18/14,5/29/14,82
312,18.63921057,36.44670446,0.717516578,0.160187372,5/30/14,6/10/14,95
313,19.73730529,36.43270604,0.803693108,0.161924797,6/11/14,6/22/14,98
314,20.67761265,36.54122612,0.589563331,0.165647885,6/23/14,7/4/14,111
315,20.94037039,36.56855296,0.540410737,0.175886084,7/5/14,7/16/14,135
316,21.58591091,36.51270953,0.665154813,0.155295788,7/17/14,7/28/14,146
317,22.03277784,36.6164407,0.604594582,0.155628793,7/29/14,8/9/14,108
318,22.87255946,36.58883342,0.682836734,0.129348484,8/10/14,8/21/14,177
319,23.53220565,36.61681198,1.177136714,0.118767801,8/22/14,9/2/14,109
320,23.76821492,36.51988901,0.592981208,0.180571945,9/3/14,9/14/14,214
321,23.31281422,36.59768325,0.536517418,0.163028486,9/15/14,9/26/14,141
322,23.12254536,36.57856566,0.584266623,0.188801318,9/27/14,10/8/14,143
323,22.64129275,36.62107373,0.421417786,0.136038161,10/9/14,10/20/14,222
324,22.4813641,36.53912014,0.623601173,0.228391528,10/21/14,11/1/14,176
325,21.79084235,36.56995149,0.665326768,0.173737873,11/2/14,11/13/14,184
326,20.84254242,36.54665213,0.493438254,0.143679671,11/14/14,11/25/14,177
327,19.19054615,36.44765954,0.802809895,0.168531497,11/26/14,12/7/14,260
328,18.42051486,36.47733014,0.553636894,0.130018174,12/8/14,12/19/14,202
329,17.57148259,36.43747316,0.594550957,0.137926984,12/20/14,12/31/14,201
330,17.48729004,36.49007,0.642336838,0.119952104,1/1/15,1/13/15,200
331,17.07086888,36.45921207,0.459403704,0.111330616,1/14/15,1/26/15,122
332,16.56973449,36.38338921,0.382197534,0.142323038,1/27/15,2/8/15,177
333,16.17312503,36.33283539,0.633174083,0.181895113,2/9/15,2/21/15,176
334,15.89873427,36.31685577,0.445757691,0.106571292,2/22/15,3/6/15,143
335,16.39591136,36.395898,0.475254779,0.085895051,3/7/15,3/18/15,158
336,15.83435093,36.3107871,0.820638307,0.167567726,3/19/15,3/30/15,151
337,16.33900865,36.38853913,0.454278606,0.078639361,3/31/15,4/11/15,116
338,17.06629655,36.41507537,0.428330274,0.079119586,4/12/15,4/23/15,118
339,17.53556816,36.37955801,0.573765626,0.129345737,4/24/15,5/5/15,132
340,18.27725786,36.41497589,0.70565007,0.126062595,5/6/15,5/17/15,159
341,18.20948883,36.380528,0.777043587,0.17309653,5/18/15,5/29/15,135
342,18.69061762,36.40817665,0.923355474,0.185417917,5/30/15,6/10/15,102
343,19.53174187,36.45462381,0.598673446,0.123888277,6/11/15,6/22/15,93
344,20.604343,36.50104,0.783849523,0.164517294,6/23/15,7/4/15,105
345,21.20762696,36.48903977,0.958848222,0.133084749,7/5/15,7/16/15,126
346,22.37934179,36.49318333,1.047721932,0.209002012,7/17/15,7/28/15,160
